Run,Algorithm,Heuristic,Execution Time (ms),Memory Used (Bytes)
73,A*,Manhattan Distance,9,8104
74,A*,Manhattan Distance,9,8872
75,A*,Manhattan Distance,8,8128
76,A*,Manhattan Distance,8,8888
77,A*,Manhattan Distance,8,8344
78,A*,Manhattan Distance,8,9920
79,A*,Manhattan Distance,9,11216
80,A*,Manhattan Distance,9,9504
81,A*,Manhattan Distance,10,7968
82,A*,Manhattan Distance,11,32936
83,A*,Manhattan Distance,9,50808
84,A*,Manhattan Distance,11,11928
85,A*,Manhattan Distance,11,47696
86,A*,Manhattan Distance,10,5864
87,A*,Manhattan Distance,11,15016
88,A*,Manhattan Distance,11,36240
89,A*,Manhattan Distance,10,36056
90,A*,Manhattan Distance,11,36112
91,A*,Manhattan Distance,11,5776
92,A*,Manhattan Distance,10,47880
93,A*,Manhattan Distance,9,5824
94,A*,Manhattan Distance,10,6568
95,A*,Manhattan Distance,9,49000
96,A*,Manhattan Distance,10,6824
97,A*,Manhattan Distance,9,5280
98,A*,Manhattan Distance,10,5888
99,A*,Manhattan Distance,10,712
0,A*,Misplaced Tiles,13,81800
1,A*,Misplaced Tiles,11,736
2,A*,Misplaced Tiles,9,85192
3,A*,Misplaced Tiles,9,83824
4,A*,Misplaced Tiles,9,3112
5,A*,Misplaced Tiles,8,6664
6,A*,Misplaced Tiles,9,39744
7,A*,Misplaced Tiles,10,2120
8,A*,Misplaced Tiles,9,40528
9,A*,Misplaced Tiles,8,39856
10,A*,Misplaced Tiles,9,40256
11,A*,Misplaced Tiles,9,81360
12,A*,Misplaced Tiles,10,15200
13,A*,Misplaced Tiles,11,81944
14,A*,Misplaced Tiles,10,40024
15,A*,Misplaced Tiles,9,39904
16,A*,Misplaced Tiles,11,81760
17,A*,Misplaced Tiles,9,39912
18,A*,Misplaced Tiles,10,41112
19,A*,Misplaced Tiles,10,6832
20,A*,Misplaced Tiles,11,46808
21,A*,Misplaced Tiles,9,6656
22,A*,Misplaced Tiles,10,47728
23,A*,Misplaced Tiles,11,46104
24,A*,Misplaced Tiles,10,47856
25,A*,Misplaced Tiles,9,59272
26,A*,Misplaced Tiles,11,40472
27,A*,Misplaced Tiles,10,1440
28,A*,Misplaced Tiles,12,81824
29,A*,Misplaced Tiles,11,39832
30,A*,Misplaced Tiles,10,40096
31,A*,Misplaced Tiles,9,84536
32,A*,Misplaced Tiles,11,45016
33,A*,Misplaced Tiles,10,48992
34,A*,Misplaced Tiles,11,46768
35,A*,Misplaced Tiles,10,41840
36,A*,Misplaced Tiles,10,54952
37,A*,Misplaced Tiles,10,13240
38,A*,Misplaced Tiles,10,74128
39,A*,Misplaced Tiles,10,108248
40,A*,Misplaced Tiles,12,42280
41,A*,Misplaced Tiles,10,44352
42,A*,Misplaced Tiles,10,82208
43,A*,Misplaced Tiles,10,46040
44,A*,Misplaced Tiles,11,2288
45,A*,Misplaced Tiles,11,40
46,A*,Misplaced Tiles,11,104680
47,A*,Misplaced Tiles,14,42304
48,A*,Misplaced Tiles,13,1232
49,A*,Misplaced Tiles,12,43200
50,A*,Misplaced Tiles,12,43040
51,A*,Misplaced Tiles,10,84080
52,A*,Misplaced Tiles,10,44008
53,A*,Misplaced Tiles,13,45184
54,A*,Misplaced Tiles,13,46592
55,A*,Misplaced Tiles,12,19104
56,A*,Misplaced Tiles,14,2152
57,A*,Misplaced Tiles,11,81768
58,A*,Misplaced Tiles,10,512
59,A*,Misplaced Tiles,10,41448
60,A*,Misplaced Tiles,11,40320
61,A*,Misplaced Tiles,12,1216
62,A*,Misplaced Tiles,11,40592
63,A*,Misplaced Tiles,13,40024
64,A*,Misplaced Tiles,10,40024
65,A*,Misplaced Tiles,11,1800
66,A*,Misplaced Tiles,10,2280
67,A*,Misplaced Tiles,10,81976
68,A*,Misplaced Tiles,10,40136
69,A*,Misplaced Tiles,12,82312
70,A*,Misplaced Tiles,12,81832
71,A*,Misplaced Tiles,10,1992
72,A*,Misplaced Tiles,10,40016
73,A*,Misplaced Tiles,11,40400
74,A*,Misplaced Tiles,12,39960
75,A*,Misplaced Tiles,11,81864
76,A*,Misplaced Tiles,12,82128
77,A*,Misplaced Tiles,11,2320
78,A*,Misplaced Tiles,11,81864
79,A*,Misplaced Tiles,10,336
80,A*,Misplaced Tiles,10,40272
81,A*,Misplaced Tiles,10,1120
82,A*,Misplaced Tiles,12,2112
83,A*,Misplaced Tiles,12,41008
84,A*,Misplaced Tiles,13,40416
85,A*,Misplaced Tiles,12,82072
86,A*,Misplaced Tiles,12,40640
87,A*,Misplaced Tiles,12,40176
88,A*,Misplaced Tiles,12,85208
89,A*,Misplaced Tiles,10,45744
90,A*,Misplaced Tiles,11,1608
91,A*,Misplaced Tiles,11,42040
92,A*,Misplaced Tiles,11,40288
93,A*,Misplaced Tiles,12,40240
94,A*,Misplaced Tiles,11,42168
95,A*,Misplaced Tiles,11,336
96,A*,Misplaced Tiles,11,2368
97,A*,Misplaced Tiles,11,1920
