Run,Algorithm,Heuristic,Execution Time (ms),Memory Used (Bytes)
99,IDA*,Manhattan Distance,11,192
0,IDA*,Misplaced Tiles,12,192
1,IDA*,Misplaced Tiles,11,192
2,IDA*,Misplaced Tiles,11,192
3,IDA*,Misplaced Tiles,11,192
4,IDA*,Misplaced Tiles,13,192
5,IDA*,Misplaced Tiles,11,192
6,IDA*,Misplaced Tiles,12,192
7,IDA*,Misplaced Tiles,11,192
8,IDA*,Misplaced Tiles,12,192
9,IDA*,Misplaced Tiles,12,192
10,IDA*,Misplaced Tiles,11,192
11,IDA*,Misplaced Tiles,12,192
12,IDA*,Misplaced Tiles,11,192
13,IDA*,Misplaced Tiles,11,192
14,IDA*,Misplaced Tiles,11,192
15,IDA*,Misplaced Tiles,11,192
16,IDA*,Misplaced Tiles,12,192
17,IDA*,Misplaced Tiles,12,192
18,IDA*,Misplaced Tiles,11,192
19,IDA*,Misplaced Tiles,12,192
20,IDA*,Misplaced Tiles,12,192
21,IDA*,Misplaced Tiles,12,192
22,IDA*,Misplaced Tiles,12,192
23,IDA*,Misplaced Tiles,11,192
24,IDA*,Misplaced Tiles,11,192
25,IDA*,Misplaced Tiles,11,192
26,IDA*,Misplaced Tiles,11,192
27,IDA*,Misplaced Tiles,11,192
28,IDA*,Misplaced Tiles,11,192
29,IDA*,Misplaced Tiles,11,192
30,IDA*,Misplaced Tiles,12,192
31,IDA*,Misplaced Tiles,11,192
32,IDA*,Misplaced Tiles,13,192
33,IDA*,Misplaced Tiles,12,192
34,IDA*,Misplaced Tiles,13,192
35,IDA*,Misplaced Tiles,13,192
36,IDA*,Misplaced Tiles,13,192
37,IDA*,Misplaced Tiles,13,192
38,IDA*,Misplaced Tiles,12,192
39,IDA*,Misplaced Tiles,12,192
40,IDA*,Misplaced Tiles,13,192
41,IDA*,Misplaced Tiles,12,192
42,IDA*,Misplaced Tiles,13,192
43,IDA*,Misplaced Tiles,13,192
44,IDA*,Misplaced Tiles,13,192
45,IDA*,Misplaced Tiles,14,192
46,IDA*,Misplaced Tiles,13,192
47,IDA*,Misplaced Tiles,13,192
48,IDA*,Misplaced Tiles,12,192
49,IDA*,Misplaced Tiles,12,192
50,IDA*,Misplaced Tiles,12,192
51,IDA*,Misplaced Tiles,12,192
52,IDA*,Misplaced Tiles,12,192
53,IDA*,Misplaced Tiles,12,192
54,IDA*,Misplaced Tiles,12,192
55,IDA*,Misplaced Tiles,12,192
56,IDA*,Misplaced Tiles,12,192
57,IDA*,Misplaced Tiles,11,192
58,IDA*,Misplaced Tiles,12,192
59,IDA*,Misplaced Tiles,11,192
60,IDA*,Misplaced Tiles,12,192
61,IDA*,Misplaced Tiles,12,192
62,IDA*,Misplaced Tiles,11,192
63,IDA*,Misplaced Tiles,12,192
64,IDA*,Misplaced Tiles,12,192
65,IDA*,Misplaced Tiles,11,192
66,IDA*,Misplaced Tiles,11,192
67,IDA*,Misplaced Tiles,12,192
68,IDA*,Misplaced Tiles,11,192
69,IDA*,Misplaced Tiles,11,192
70,IDA*,Misplaced Tiles,11,192
71,IDA*,Misplaced Tiles,12,192
72,IDA*,Misplaced Tiles,12,192
73,IDA*,Misplaced Tiles,11,192
74,IDA*,Misplaced Tiles,11,192
75,IDA*,Misplaced Tiles,12,192
76,IDA*,Misplaced Tiles,11,192
77,IDA*,Misplaced Tiles,11,192
78,IDA*,Misplaced Tiles,11,192
79,IDA*,Misplaced Tiles,11,192
80,IDA*,Misplaced Tiles,12,192
81,IDA*,Misplaced Tiles,11,192
82,IDA*,Misplaced Tiles,11,192
83,IDA*,Misplaced Tiles,13,192
84,IDA*,Misplaced Tiles,12,192
85,IDA*,Misplaced Tiles,13,192
86,IDA*,Misplaced Tiles,14,192
87,IDA*,Misplaced Tiles,15,192
88,IDA*,Misplaced Tiles,19,192
89,IDA*,Misplaced Tiles,15,192
90,IDA*,Misplaced Tiles,19,192
91,IDA*,Misplaced Tiles,18,192
92,IDA*,Misplaced Tiles,16,192
93,IDA*,Misplaced Tiles,19,192
94,IDA*,Misplaced Tiles,15,192
95,IDA*,Misplaced Tiles,20,192
96,IDA*,Misplaced Tiles,19,192
97,IDA*,Misplaced Tiles,20,192
98,IDA*,Misplaced Tiles,14,192
99,IDA*,Misplaced Tiles,20,192
0,IDA*,Linear Conflict and Manhattan Distance,19,192
1,IDA*,Linear Conflict and Manhattan Distance,16,192
2,IDA*,Linear Conflict and Manhattan Distance,19,192
3,IDA*,Linear Conflict and Manhattan Distance,17,192
4,IDA*,Linear Conflict and Manhattan Distance,18,192
5,IDA*,Linear Conflict and Manhattan Distance,15,192
6,IDA*,Linear Conflict and Manhattan Distance,22,192
7,IDA*,Linear Conflict and Manhattan Distance,17,192
8,IDA*,Linear Conflict and Manhattan Distance,19,192
9,IDA*,Linear Conflict and Manhattan Distance,16,192
10,IDA*,Linear Conflict and Manhattan Distance,21,192
11,IDA*,Linear Conflict and Manhattan Distance,20,192
